Device_Name,IP_Address,Frequency,,,,,,
4051 Purdy C5 .50,10.4.51.50,5300,,,,,,
4051 Purdy RM365 .30,10.4.51.30,3661,,,,,,
4051 Purdy C9 .24,10.4.51.24,None,,,,,,
4051 Purdy C9 .23,10.4.51.23,None,,,,,,
4051 Purdy C9 .22,10.4.51.22,None,,,,,,
4051 Purdy RM2 .20,10.4.51.20,2412,,,,,,
4050 Lowes C9 .94,10.4.50.94,924,,,,,,
4050 Lowes C9 .93,10.4.50.93,915,,,,,,
4050 Lowes C9 .92,10.4.50.92,924,,,,,,
4050 Lowes C9 .90,10.4.50.90,906,,,,,,
4050 Lowes PBEM5 .59,10.4.50.59,5200,,,,,,
4050 Lowes NSM5 .57,10.4.50.57,5155,,,,,,
4050 Lowes C5 .56,10.4.50.56,5325,,,,,,
4050 Lowes C5 .55,10.4.50.55,5300,,,,,,
4050 Lowes C5 .54,10.4.50.54,5275,,,,,,
4050 Lowes C5 .53,10.4.50.53,5325,,,,,,
4050 Lowes C5 .52,10.4.50.52,5300,,,,,,
4050 Lowes C5 .51,10.4.50.51,5275,,,,,,
4050 Lowes NSM365 .34,10.4.50.34,3666,,,,,,
4050 Lowes RM2 .20,10.4.50.20,2462,,,,,,
4005 Riverfork C9 .96,10.4.5.96,924,,,,,,
4005 Riverfork C9 .95,10.4.5.95,906,,,,,,
4005 Riverfork C9 .94,10.4.5.94,924,,,,,,
4005 Riverfork C9 .93,10.4.5.93,906,,,,,,
4005 Riverfork C9 .92,10.4.5.92,924,,,,,,
4005 Riverfork C9 .91,10.4.5.91,906,,,,,,
4005 Riverfork C9 .90,10.4.5.90,915,,,,,,
4005 Riverfork PBEM5 .56,10.4.5.56,5320,,,,,,
4005 Riverfork RM5 .54,10.4.5.54,5800,,,,,,
4005 Riverfork C5 .50,10.4.5.50,5275,,,,,,
4005 Riverfork RM365 .30,10.4.5.30,3661,,,,,,
4005 Riverfork NSM2 .26,10.4.5.26,2452,,,,,,
4048 Monett S C9 .96,10.4.48.96,924,,,,,,
4048 Monett S C9 .95,10.4.48.95,915,,,,,,
4048 Monett S C9 .94,10.4.48.94,906,,,,,,
4048 Monett S C9 .93,10.4.48.93,924,,,,,,
4048 Monett S C9 .92,10.4.48.92,915,,,,,,
4048 Monett S C9 .91,10.4.48.91,906,,,,,,
4048 Monett S C5 .55,10.4.48.55,5280,,,,,,
4048 Monett S RM5 .54,10.4.48.54,5170,,,,,,
4048 Monett S RM5 .53,10.4.48.53,5185,,,,,,
4048 Monett S RM5 .51,10.4.48.51,5155,,,,,,
4048 Monett S C5 .50,10.4.48.50,5310,,,,,,
4047 Connectel C9 .96,10.4.47.96,924,,,,,,
4047 Connectel C9 .95,10.4.47.95,906,,,,,,
4047 Connectel C9 .94,10.4.47.94,None,,,,,,
4047 Connectel C9 .93,10.4.47.93,915,,,,,,
4047 Connectel C9 .92,10.4.47.92,906,,,,,,
4047 Connectel C9 .91,10.4.47.91,None,,,,,,
4047 Connectel PBEM5 .57,10.4.47.57,5800,,,,,,
4047 Connectel C5 .56,10.4.47.56,5325,,,,,,
4047 Connectel C5 .55,10.4.47.55,5300,,,,,,
4047 Connectel C5 .54,10.4.47.54,5275,,,,,,
4047 Connectel C5 .53,10.4.47.53,5325,,,,,,
4047 Connectel C5 .52,10.4.47.52,5300,,,,,,
4047 Connectel C5 .51,10.4.47.51,5275,,,,,,
4047 Connectel NSM2 .26,10.4.47.26,2464,,,,,,
4034 Delaware Town C9 .96,10.4.34.96,924,,,,,,
4034 Delaware Town C9 .95,10.4.34.95,906,,,,,,
4034 Delaware Town C9 .94,10.4.34.94,906,,,,,,
4034 Delaware Town C9 .93,10.4.34.93,924,,,,,,
4034 Delaware Town C9 .92,10.4.34.92,915,,,,,,
4034 Delaware Town C9 .91,10.4.34.91,906,,,,,,
