Device_Name,IP_Address,Frequency,,,,,,
3035 Macomb C5 .50,10.3.35.50,5735,,,,,,
3035 Macomb NSM365 .35,10.3.35.35,3666,,,,,,
3035 Macomb PBEM2 .23,10.3.35.23,2412,,,,,,
3035 Macomb C2 .20,10.3.35.20,2457,,,,,,
3032 Frosty C9 .96,10.3.32.96,915,,,,,,
3032 Frosty C9 .95,10.3.32.95,906,,,,,,
3032 Frosty C9 .94,10.3.32.94,924,,,,,,
3032 Frosty C9 .93,10.3.32.93,906,,,,,,
3032 Frosty C9 .92,10.3.32.92,924,,,,,,
3032 Frosty C9 .91,10.3.32.91,906,,,,,,
3032 Frosty NSM5 .54,10.3.32.54,5730,,,,,,
3032 Frosty PBEM5 .53,10.3.32.53,5570,,,,,,
3032 Frosty PBEM5 .52,10.3.32.52,5160,,,,,,
3032 Frosty NSM365 .39,10.3.32.39,3656,,,,,,
3032 Frosty C2 .26,10.3.32.26,2457,,,,,,
3032 Frosty C2 .25,10.3.32.25,2437,,,,,,
3032 Frosty C2 .24,10.3.32.24,2415,,,,,,
3032 Frosty C2 .23,10.3.32.23,2457,,,,,,
3032 Frosty C2 .22,10.3.32.22,2437,,,,,,
3032 Frosty C2 .21,10.3.32.21,2415,,,,,,
3003 Twin Oaks C9 .95,10.3.3.95,906,,,,,,
3003 Twin Oaks C9 .94,10.3.3.94,None,,,,,,
3003 Twin Oaks C9 .93,10.3.3.93,None,,,,,,
3003 Twin Oaks PBEM5 .59,10.3.3.59,5680,,,,,,
3003 Twin Oaks RM5 .56,10.3.3.56,5235,,,,,,
3003 Twin Oaks NBM5 .55,10.3.3.55,5180,,,,,,
3003 Twin Oaks RM5 .53,10.3.3.53,5200,,,,,,
3003 Twin Oaks RM5 .51,10.3.3.51,5165,,,,,,
3003 Twin Oaks C5 .50,10.3.3.50,5300,,,,,,
3025 Rogersville C9 .97,10.3.25.97,915,,,,,,
3025 Rogersville C9 .96,10.3.25.96,906,,,,,,
3025 Rogersville C9 .95,10.3.25.95,924,,,,,,
3025 Rogersville C9 .94,10.3.25.94,906,,,,,,
3025 Rogersville C9 .93,10.3.25.93,924,,,,,,
3025 Rogersville C9 .92,10.3.25.92,906,,,,,,
3025 Rogersville C9 .91,10.3.25.91,924,,,,,,
3025 Rogersville C5 .59,10.3.25.59,5300,,,,,,
3025 Rogersville RM5 .55,10.3.25.55,5210,,,,,,
3025 Rogersville RM5 .53,10.3.25.53,5740,,,,,,
3025 Rogersville RM5 .51,10.3.25.51,5165,,,,,,
3025 Rogersville C5 .50,10.3.25.50,5275,,,,,,
3024 Mansfield C9 .90,10.3.24.90,917,,,,,,
3024 Mansfield PBEM5 .54,10.3.24.54,5190,,,,,,
3024 Mansfield PBEM5 .51,10.3.24.51,5165,,,,,,
3024 Mansfield C2 .20,10.3.24.20,2457,,,,,,
3023 Mtn Grove C9 .96,10.3.23.96,906,,,,,,
3023 Mtn Grove C9 .95,10.3.23.95,None,,,,,,
3023 Mtn Grove C9 .94,10.3.23.94,915,,,,,,
3023 Mtn Grove C9 .93,10.3.23.93,906,,,,,,
3023 Mtn Grove C9 .92,10.3.23.92,924,,,,,,
3023 Mtn Grove C9 .91,10.3.23.91,915,,,,,,
3023 Mtn Grove PBEM5 .52,10.3.23.52,5230,,,,,,
3023 Mtn Grove RM365 .30,10.3.23.30,3661,,,,,,
3023 Mtn Grove C2 .26,10.3.23.26,2437,,,,,,
3023 Mtn Grove C2 .24,10.3.23.24,2457,,,,,,
3023 Mtn Grove C2 .20,10.3.23.20,2415,,,,,,
3023 Mtn Grove NSM365 .106,10.3.23.106,3656,,,,,,
3023 Mtn Grove PBEM2 .105,10.3.23.105,2462,,,,,,
3022 Ava C9 .96,10.3.22.96,None,,,,,,
3022 Ava C9 .95,10.3.22.95,None,,,,,,
3022 Ava C9 .93,10.3.22.93,None,,,,,,
3022 Ava C9 .92,10.3.22.92,None,,,,,,
3022 Ava C9 .91,10.3.22.91,906,,,,,,
3022 Ava PBEM5 .55,10.3.22.55,5820,,,,,,
3022 Ava RM5 .50,10.3.22.50,5180,,,,,,
3022 Ava C2 .20,10.3.22.20,2415,,,,,,
3002 Olga NSM5 .54,10.3.2.54,5835,,,,,,
3002 Olga RM2 .21,10.3.2.21,2442,,,,,,
3180 Ava Hwy 76 C9+ .94,10.3.180.94,905.5,,,,,,
3180 Ava Hwy 76 C9+ .93,10.3.180.93,914,,,,,,
3180 Ava Hwy 76 C9+ .92,10.3.180.92,905.5,,,,,,
3180 Ava Hwy 76 C9+ .91,10.3.180.91,914,,,,,,
3180 Ava Hwy 76 PBEM5 .59,10.3.180.59,5840,,,,,,
3180 Ava Hwy 76 CE2 .24,10.3.180.24,2462,,,,,,
3180 Ava Hwy 76 CE2 .23,10.3.180.23,2442,,,,,,
3180 Ava Hwy 76 CE2 .22,10.3.180.22,2462,,,,,,
3180 Ava Hwy 76 CE2 .21,10.3.180.21,2442,,,,,,
3177 Shoe Factory C9+ .94,10.3.177.94,923,,,,,,
3177 Shoe Factory C9+ .93,10.3.177.93,907,,,,,,
3177 Shoe Factory C9+ .92,10.3.177.92,923,,,,,,
3177 Shoe Factory C9+ .91,10.3.177.91,907,,,,,,
3177 Shoe Factory CE2 .24,10.3.177.24,2462,,,,,,
3177 Shoe Factory CE2 .23,10.3.177.23,2412,,,,,,
3177 Shoe Factory CE2 .22,10.3.177.22,2462,,,,,,
3177 Shoe Factory CE2 .21,10.3.177.21,2412,,,,,,
3017 Race Track RM5 .50,10.3.17.50,5160,,,,,,
3164 Ava SW C9+ .94,10.3.164.94,923,,,,,,
3164 Ava SW C9+ .93,10.3.164.93,907,,,,,,
3164 Ava SW C9+ .92,10.3.164.92,923,,,,,,
3164 Ava SW C9+ .91,10.3.164.91,907,,,,,,
3164 Ava SW CE2 .24,10.3.164.24,2412,,,,,,
3164 Ava SW CE2 .23,10.3.164.23,2462,,,,,,
3164 Ava SW CE2 .22,10.3.164.22,2412,,,,,,
3164 Ava SW CE2 .21,10.3.164.21,2462,,,,,,
3160 Hwy AK14 C9+ .94,10.3.160.94,923,,,,,,
3160 Hwy AK14 C9+ .93,10.3.160.93,907,,,,,,
3160 Hwy AK14 C9+ .92,10.3.160.92,923,,,,,,
3160 Hwy AK14 C9+ .91,10.3.160.91,907,,,,,,
3160 Hwy AK14 CE2 .24,10.3.160.24,2437,,,,,,
3160 Hwy AK14 CE2 .23,10.3.160.23,2412,,,,,,
3160 Hwy AK14 CE2 .22,10.3.160.22,2437,,,,,,
3160 Hwy AK14 CE2 .21,10.3.160.21,2412,,,,,,
3016 Miller Farms C9 .96,10.3.16.96,None,,,,,,
3016 Miller Farms C9 .95,10.3.16.95,906,,,,,,
3016 Miller Farms C9 .94,10.3.16.94,924,,,,,,
3016 Miller Farms C9 .93,10.3.16.93,915,,,,,,
3016 Miller Farms C9 .92,10.3.16.92,906,,,,,,
3016 Miller Farms C9 .91,10.3.16.91,924,,,,,,
3016 Miller Farms PBEM5 .54,10.3.16.54,5165,,,,,,
3016 Miller Farms C2 .25,10.3.16.25,2415,,,,,,
3016 Miller Farms C2 .24,10.3.16.24,2435,,,,,,
3016 Miller Farms C2 .20,10.3.16.20,2457,,,,,,
3153 Blue Eye Morningside C9 .96,10.3.153.96,None,,,,,,
3153 Blue Eye Morningside C9 .95,10.3.153.95,None,,,,,,
3153 Blue Eye Morningside C9 .94,10.3.153.94,None,,,,,,
3153 Blue Eye Morningside C9 .93,10.3.153.93,906,,,,,,
3153 Blue Eye Morningside C9 .92,10.3.153.92,924,,,,,,
3153 Blue Eye Morningside C9 .91,10.3.153.91,911,,,,,,
3153 Blue Eye Morningside RM5 .53,10.3.153.53,5160,,,,,,
3153 Blue Eye Morningside RM2 .20,10.3.153.20,2462,,,,,,
3148 Howell Co S C9+ .94,10.3.148.94,905.5,,,,,,
3148 Howell Co S PBEM5 .55,10.3.148.55,5165,,,,,,
3148 Howell Co S NSM2 .23,10.3.148.23,2452,,,,,,
3148 Howell Co S C2 .20,10.3.148.20,2415,,,,,,
3145 West Plains C9 .90,10.3.145.90,906,,,,,,
3145 West Plains RM2 .20,10.3.145.20,2462,,,,,,
3142 Branson W Walmart C9 .96,10.3.142.96,924,,,,,,
3142 Branson W Walmart C9 .95,10.3.142.95,None,,,,,,
3142 Branson W Walmart C9 .94,10.3.142.94,None,,,,,,
3142 Branson W Walmart C9 .93,10.3.142.93,None,,,,,,
3142 Branson W Walmart C9 .92,10.3.142.92,None,,,,,,
3142 Branson W Walmart C9 .91,10.3.142.91,None,,,,,,
3142 Branson W Walmart RM5 .50,10.3.142.50,5745,,,,,,
3135 Spring Hill Rd C9 .96,10.3.135.96,924,,,,,,
3135 Spring Hill Rd C9 .95,10.3.135.95,915,,,,,,
3135 Spring Hill Rd C9 .94,10.3.135.94,906,,,,,,
3135 Spring Hill Rd C9 .93,10.3.135.93,924,,,,,,
3135 Spring Hill Rd C9 .92,10.3.135.92,915,,,,,,
3135 Spring Hill Rd C9 .91,10.3.135.91,906,,,,,,
3135 Spring Hill Rd NSM5 .52,10.3.135.52,5280,,,,,,
3135 Spring Hill Rd C2 .20,10.3.135.20,2415,,,,,,
3013 Olathia RM2 .20,10.3.13.20,2432,,,,,,
3129 Lakeview Lookout C9 .96,10.3.129.96,924,,,,,,
3129 Lakeview Lookout C9 .95,10.3.129.95,915,,,,,,
3129 Lakeview Lookout C9 .94,10.3.129.94,906,,,,,,
3129 Lakeview Lookout C9 .93,10.3.129.93,924,,,,,,
3129 Lakeview Lookout C9 .92,10.3.129.92,915,,,,,,
3129 Lakeview Lookout C9 .91,10.3.129.91,None,,,,,,
3129 Lakeview Lookout NSM365 .35,10.3.129.35,3656,,,,,,
3129 Lakeview Lookout C2 .29,10.3.129.29,2457,,,,,,
3129 Lakeview Lookout C2 .20,10.3.129.20,2415,,,,,,
3122 Jamboraz C9 .90,10.3.122.90,924,,,,,,
3122 Jamboraz PBEM5 .51,10.3.122.51,5175,,,,,,
3122 Jamboraz RM2 .29,10.3.122.29,2412,,,,,,
3122 Jamboraz C2 .20,10.3.122.20,2430,,,,,,
3110 Branson W N C9 .93,10.3.110.93,None,,,,,,
3110 Branson W N C9 .92,10.3.110.92,None,,,,,,
3110 Branson W N C9 .91,10.3.110.91,906,,,,,,
3110 Branson W N NSM365 .33,10.3.110.33,3666,,,,,,
3110 Branson W N NSM365 .31,10.3.110.31,3656,,,,,,
3110 Branson W N RM2 .20,10.3.110.20,2437,,,,,,
3011 Stoneshire C9 .95,10.3.11.95,None,,,,,,
3011 Stoneshire C9 .94,10.3.11.94,915,,,,,,
3011 Stoneshire C9 .93,10.3.11.93,924,,,,,,
3011 Stoneshire C9 .92,10.3.11.92,906,,,,,,
3011 Stoneshire C9 .91,10.3.11.91,915,,,,,,
3011 Stoneshire RM365 .34,10.3.11.34,3656,,,,,,
3011 Stoneshire PBEM2 .27,10.3.11.27,2462,,,,,,
3011 Stoneshire RM2 .23,10.3.11.23,2432,,,,,,
3108 Green Forest C9 .96,10.3.108.96,906,,,,,,
3108 Green Forest C9 .95,10.3.108.95,915,,,,,,
3108 Green Forest C9 .94,10.3.108.94,924,,,,,,
3108 Green Forest C9 .93,10.3.108.93,None,,,,,,
3108 Green Forest C9 .92,10.3.108.92,915,,,,,,
3108 Green Forest C9 .91,10.3.108.91,924,,,,,,
3108 Green Forest RM2 .25,10.3.108.25,2464,,,,,,
3105 Twin Island Shpng Cntr C9 .90,10.3.105.90,915,,,,,,
3105 Twin Island Shpng Cntr NBEM5 .52,10.3.105.52,5160,,,,,,
3104 Twin Island Estates C9 .91,10.3.104.91,922,,,,,,
3104 Twin Island Estates C9 .90,10.3.104.90,906,,,,,,
3104 Twin Island Estates RM2 .25,10.3.104.25,2464,,,,,,
3104 Twin Island Estates RM2 .22,10.3.104.22,2424,,,,,,
3102 Windmill C9 .94,10.3.102.94,924,,,,,,
3102 Windmill C9 .90,10.3.102.90,906,,,,,,
3102 Windmill C5 .59,10.3.102.59,5325,,,,,,
3102 Windmill PBEM5 .57,10.3.102.57,5805,,,,,,
3102 Windmill C5 .55,10.3.102.55,5840,,,,,,
3102 Windmill NBM5 .51,10.3.102.51,5190,,,,,,
3102 Windmill RM5 .50,10.3.102.50,5210,,,,,,
3101 Branson Creek C9 .90,10.3.101.90,914,,,,,,
3101 Branson Creek NSM365 .36,10.3.101.36,3656,,,,,,
3101 Branson Creek RM2 .20,10.3.101.20,2447,,,,,,
3100 Vacation Channel NBM5 .52,10.3.100.52,5680,,,,,,
3100 Vacation Channel NSM5 .51,10.3.100.51,5575,,,,,,
3010 Ozark C9+ .94,10.3.10.94,924.5,,,,,,
3010 Ozark C9+ .93,10.3.10.93,917,,,,,,
3010 Ozark C9+ .92,10.3.10.92,905.5,,,,,,
3010 Ozark C9+ .91,10.3.10.91,917,,,,,,
3010 Ozark PBEM5 .59,10.3.10.59,5615,,,,,,
3010 Ozark NBM5 .58,10.3.10.58,5840,,,,,,
3010 Ozark PBEM5 .57,10.3.10.57,5755,,,,,,
3010 Ozark C5 .56,10.3.10.56,5275,,,,,,
3010 Ozark C5 .55,10.3.10.55,5295,,,,,,
3010 Ozark C5 .54,10.3.10.54,5275,,,,,,
3010 Ozark C5 .53,10.3.10.53,5295,,,,,,
3010 Ozark C5 .52,10.3.10.52,5275,,,,,,
3010 Ozark C5 .51,10.3.10.51,5295,,,,,,
3010 Ozark RM365 .37,10.3.10.37,3666,,,,,,
3010 Ozark RM365 .36,10.3.10.36,3656,,,,,,
3010 Ozark PBEM5 .101,10.3.10.101,5710,,,,,,
3001 Peck Hill RM365 .33,10.3.1.33,3656,,,,,,
3001 Peck Hill RM365 .32,10.3.1.32,3661,,,,,,
3001 Peck Hill RM365 .31,10.3.1.31,3671,,,,,,
2097 Diggins C9 .90,10.2.97.90,906,,,,,,
2097 Diggins PBEM5 .56,10.2.97.56,5160,,,,,,
2097 Diggins PBEM5 .54,10.2.97.54,5180,,,,,,
2097 Diggins C2 .20,10.2.97.20,2415,,,,,,
2096 Boys Ranch C9 .96,10.2.96.96,None,,,,,,
2096 Boys Ranch C9 .95,10.2.96.95,None,,,,,,
2096 Boys Ranch C9 .94,10.2.96.94,906,,,,,,
2096 Boys Ranch C9 .93,10.2.96.93,924,,,,,,
2096 Boys Ranch C9 .92,10.2.96.92,915,,,,,,
2096 Boys Ranch C9 .91,10.2.96.91,906,,,,,,
2096 Boys Ranch NSM5 .59,10.2.96.59,5500,,,,,,
2096 Boys Ranch RM2 .20,10.2.96.20,2437,,,,,,
2095 Mtn View C9 .90,10.2.95.90,915,,,,,,
2095 Mtn View NSM2 .22,10.2.95.22,2462,,,,,,
2095 Mtn View C2 .20,10.2.95.20,2415,,,,,,
2092 Niangua C9 .90,10.2.92.90,924,,,,,,
2092 Niangua C2 .20,10.2.92.20,2457,,,,,,
2090 JE C9 .95,10.2.90.95,915,,,,,,
2090 JE C9 .93,10.2.90.93,924,,,,,,
2090 JE C9 .92,10.2.90.92,915,,,,,,
2090 JE C9 .91,10.2.90.91,906,,,,,,
2090 JE PBEM5 .55,10.2.90.55,5790,,,,,,
2090 JE NSM5 .54,10.2.90.54,5265,,,,,,
2090 JE RM365 .30,10.2.90.30,3661,,,,,,
2089 Silver Bell NBEM5 .59,10.2.89.59,5840,,,,,,
2089 Silver Bell RM365 .36,10.2.89.36,3661,,,,,,
2088 Cabool N C9+ .95,10.2.88.95,907,,,,,,
2088 Cabool N C9 .94,10.2.88.94,915,,,,,,
2088 Cabool N C9 .90,10.2.88.90,924,,,,,,
2088 Cabool N RM5 .50,10.2.88.50,5765,,,,,,
2088 Cabool N C2 .20,10.2.88.20,2437,,,,,,
2087 Laclede PWSD #1 C9 .90,10.2.87.90,None,,,,,,
2087 Laclede PWSD #1 C5 .50,10.2.87.50,5325,,,,,,
2086 Kings Mtn C9 .90,10.2.86.90,906,,,,,,
2086 Kings Mtn C5 .50,10.2.86.50,5275,,,,,,
2085 Cabool C9+ .94,10.2.85.94,924.5,,,,,,
2085 Cabool C9 .90,10.2.85.90,906,,,,,,
2085 Cabool C5 .50,10.2.85.50,5325,,,,,,
2085 Cabool NSM2 .27,10.2.85.27,2412,,,,,,
2083 Vanguard C9 .90,10.2.83.90,915,,,,,,
2083 Vanguard C5 .50,10.2.83.50,5275,,,,,,
2083 Vanguard RM2 .20,10.2.83.20,2462,,,,,,
2082 KTTK C9 .90,10.2.82.90,924,,,,,,
2082 KTTK PBEM2 .29,10.2.82.29,2457,,,,,,
2082 KTTK C2 .22,10.2.82.22,2415,,,,,,
2081 KJEL C9 .90,10.2.81.90,915,,,,,,
2080 Eldridge C9 .95,10.2.80.95,915,,,,,,
2080 Eldridge C9 .93,10.2.80.93,906,,,,,,
2080 Eldridge C9 .91,10.2.80.91,924,,,,,,
2080 Eldridge C9 .90,10.2.80.90,None,,,,,,
2080 Eldridge C5 .50,10.2.80.50,5275,,,,,,
2080 Eldridge RM2 .20,10.2.80.20,2454,,,,,,
2079 Oakland C9 .96,10.2.79.96,None,,,,,,
2079 Oakland C9 .95,10.2.79.95,None,,,,,,
2079 Oakland C9 .94,10.2.79.94,None,,,,,,
2079 Oakland C9 .93,10.2.79.93,None,,,,,,
2079 Oakland C9 .92,10.2.79.92,None,,,,,,
2079 Oakland C9 .91,10.2.79.91,None,,,,,,
2079 Oakland C5 .50,10.2.79.50,5300,,,,,,
2079 Oakland RM365 .30,10.2.79.30,3656,,,,,,
2079 Oakland RM2 .25,10.2.79.25,2462,,,,,,
2079 Oakland PBEM5 .119,10.2.79.119,5740,,,,,,
2079 Oakland C9+ .104,10.2.79.104,924.5,,,,,,
2079 Oakland C9+ .103,10.2.79.103,915,,,,,,
2079 Oakland C9+ .102,10.2.79.102,924.5,,,,,,
2079 Oakland C9+ .101,10.2.79.101,915.5,,,,,,
2078 Sleeper C9 .96,10.2.78.96,924,,,,,,
2078 Sleeper C9 .95,10.2.78.95,None,,,,,,
2078 Sleeper C9 .94,10.2.78.94,906,,,,,,
2078 Sleeper C9 .93,10.2.78.93,915,,,,,,
2078 Sleeper C9 .92,10.2.78.92,924,,,,,,
2078 Sleeper C9 .91,10.2.78.91,915,,,,,,
2078 Sleeper RM365 .30,10.2.78.30,3656,,,,,,
2078 Sleeper RM2 .20,10.2.78.20,2447,,,,,,
2075 KBFL C9 .96,10.2.75.96,924,,,,,,
2075 KBFL C9 .95,10.2.75.95,915,,,,,,
2075 KBFL C9 .94,10.2.75.94,None,,,,,,
2075 KBFL C9 .93,10.2.75.93,924,,,,,,
2075 KBFL C9 .92,10.2.75.92,915,,,,,,
2075 KBFL C9 .91,10.2.75.91,906,,,,,,
2075 KBFL PBEM5 .59,10.2.75.59,5800,,,,,,
2075 KBFL C5 .56,10.2.75.56,5275,,,,,,
2075 KBFL PBEM5 .52,10.2.75.52,5165,,,,,,
2075 KBFL C5 .50,10.2.75.50,5325,,,,,,
2074 Hammons RM365 .39,10.2.74.39,3666,,,,,,
2074 Hammons RM365 .30,10.2.74.30,3656,,,,,,
2074 Hammons PBEM5 .104,10.2.74.104,5240,,,,,,
2074 Hammons PBEM5 .103,10.2.74.103,5240,,,,,,
2074 Hammons PBEM5 .101,10.2.74.101,5735,,,,,,
2073 Double D C9 .96,10.2.73.96,None,,,,,,
2073 Double D C9 .95,10.2.73.95,None,,,,,,
2073 Double D C9 .94,10.2.73.94,None,,,,,,
2073 Double D C9 .93,10.2.73.93,924,,,,,,
2073 Double D C9 .92,10.2.73.92,915,,,,,,
2073 Double D C9 .91,10.2.73.91,906,,,,,,
2073 Double D NSM5 .52,10.2.73.52,5745,,,,,,
2073 Double D RM5 .50,10.2.73.50,5165,,,,,,
2073 Double D CE2 .24,10.2.73.24,2462,,,,,,
2073 Double D CE2 .23,10.2.73.23,2412,,,,,,
2073 Double D CE2 .22,10.2.73.22,2462,,,,,,
2073 Double D CE2 .21,10.2.73.21,2412,,,,,,
2072 Ebenezer C9 .96,10.2.72.96,924,,,,,,
2072 Ebenezer C9 .95,10.2.72.95,915,,,,,,
2072 Ebenezer C9 .94,10.2.72.94,906,,,,,,
2072 Ebenezer C9 .93,10.2.72.93,924,,,,,,
2072 Ebenezer C9 .91,10.2.72.91,906,,,,,,
2072 Ebenezer C2 .26,10.2.72.26,2457,,,,,,
2072 Ebenezer C2 .22,10.2.72.22,2457,,,,,,
2072 Ebenezer C2 .21,10.2.72.21,2437,,,,,,
2072 Ebenezer C2 .20,10.2.72.20,2415,,,,,,
2071 Fordland C9+ .94,10.2.71.94,924.5,,,,,,
2071 Fordland C9+ .93,10.2.71.93,905.5,,,,,,
2071 Fordland C9+ .92,10.2.71.92,924.5,,,,,,
2071 Fordland C9+ .91,10.2.71.91,905.5,,,,,,
2071 Fordland PBEM5 .59,10.2.71.59,5710,,,,,,
2071 Fordland C5 .56,10.2.71.56,5275,,,,,,
2071 Fordland C5 .55,10.2.71.55,5300,,,,,,
2071 Fordland C5 .52,10.2.71.52,5325,,,,,,
2071 Fordland C2+ .24,10.2.71.24,2470,,,,,,
2071 Fordland C2+ .23,10.2.71.23,2455,,,,,,
2071 Fordland C2+ .22,10.2.71.22,2470,,,,,,
2071 Fordland C2+ .21,10.2.71.21,2455,,,,,,
2071 Fordland NSM5 .105,10.2.71.105,5155,,,,,,
2071 Fordland NSM5 .101,10.2.71.101,5735,,,,,,
2070 Elkland C9 .96,10.2.70.96,924,,,,,,
2070 Elkland C9 .95,10.2.70.95,915,,,,,,
2070 Elkland C9 .94,10.2.70.94,None,,,,,,
2070 Elkland C9 .93,10.2.70.93,924,,,,,,
2070 Elkland C9 .92,10.2.70.92,None,,,,,,
2070 Elkland C9 .91,10.2.70.91,906,,,,,,
2070 Elkland NSM5 .54,10.2.70.54,5220,,,,,,
2070 Elkland C5 .50,10.2.70.50,5325,,,,,,
2070 Elkland NSM2 .23,10.2.70.23,2457,,,,,,
2068 Feemster C9 .91,10.2.68.91,906,,,,,,
2068 Feemster C9 .90,10.2.68.90,915,,,,,,
2068 Feemster C5 .59,10.2.68.59,5840,,,,,,
2068 Feemster C5 .52,10.2.68.52,5735,,,,,,
2068 Feemster C5 .50,10.2.68.50,5765,,,,,,
2065 Sloan C9+ .99,10.2.65.99,905.5,,,,,,
2065 Sloan 065 Sloan 450i S .93,10.2.65.93,None,,,,,,
2065 Sloan RM365 .32,10.2.65.32,3661,,,,,,
2063 Odin C9 .96,10.2.63.96,924,,,,,,
2063 Odin C9 .95,10.2.63.95,915,,,,,,
2063 Odin C9 .94,10.2.63.94,906,,,,,,
2063 Odin C9 .93,10.2.63.93,924,,,,,,
2063 Odin C9 .92,10.2.63.92,915,,,,,,
2063 Odin C9 .91,10.2.63.91,906,,,,,,
2063 Odin C2 .20,10.2.63.20,2457,,,,,,
2061 Hay Sales C9 .96,10.2.61.96,None,,,,,,
2061 Hay Sales C9 .95,10.2.61.95,915,,,,,,
2061 Hay Sales C9 .94,10.2.61.94,924,,,,,,
2061 Hay Sales C9 .93,10.2.61.93,None,,,,,,
2061 Hay Sales C9 .92,10.2.61.92,None,,,,,,
2061 Hay Sales RM5 .53,10.2.61.53,5180,,,,,,
2061 Hay Sales C5 .50,10.2.61.50,5310,,,,,,
2036 Grisham RM365 .30,10.2.36.30,3656,,,,,,
2032 Normal NSM5 .57,10.2.32.57,5160,,,,,,
2032 Normal RM365 .36,10.2.32.36,3666,,,,,,
2032 Normal RM365 .34,10.2.32.34,3656,,,,,,
2030 Bassville C9+ .94,10.2.30.94,924.5,,,,,,
2030 Bassville C9+ .93,10.2.30.93,905.5,,,,,,
2030 Bassville C9+ .92,10.2.30.92,924.5,,,,,,
2030 Bassville C9+ .91,10.2.30.91,905.5,,,,,,
2030 Bassville NSM5 .90,10.2.30.90,5170,,,,,,
2030 Bassville PBEM5 .58,10.2.30.58,5740,,,,,,
2030 Bassville PBEM5 .57,10.2.30.57,5760,,,,,,
2030 Bassville C5 .56,10.2.30.56,5325,,,,,,
2030 Bassville C5 .55,10.2.30.55,5300,,,,,,
2030 Bassville C5 .54,10.2.30.54,5275,,,,,,
2030 Bassville C5 .53,10.2.30.53,5325,,,,,,
2030 Bassville C5 .52,10.2.30.52,5300,,,,,,
2030 Bassville C5 .51,10.2.30.51,5275,,,,,,
2030 Bassville RM365 .30,10.2.30.30,3661,,,,,,
2030 Bassville RM5 .154,10.2.30.154,5195,,,,,,
2030 Bassville RM5 .153,10.2.30.153,5175,,,,,,
2030 Bassville RM5 .152,10.2.30.152,5185,,,,,,
2030 Bassville RM5 .151,10.2.30.151,5165,,,,,,
2029 Rogersville NW RM2 .20,10.2.29.20,2444,,,,,,
2027 Zarks C9 .96,10.2.27.96,924,,,,,,
2027 Zarks C9 .95,10.2.27.95,915,,,,,,
2027 Zarks C9 .94,10.2.27.94,906,,,,,,
2027 Zarks C9 .93,10.2.27.93,924,,,,,,
2027 Zarks C9 .92,10.2.27.92,915,,,,,,
2027 Zarks C9 .91,10.2.27.91,906,,,,,,
2027 Zarks PBEM5 .53,10.2.27.53,5550,,,,,,
2027 Zarks C2 .26,10.2.27.26,2457,,,,,,
2027 Zarks C2 .25,10.2.27.25,2437,,,,,,
2027 Zarks C2 .24,10.2.27.24,2457,,,,,,
2027 Zarks C2 .23,10.2.27.23,2437,,,,,,
2027 Zarks C2 .22,10.2.27.22,2457,,,,,,
2027 Zarks C2 .21,10.2.27.21,2437,,,,,,
2027 Zarks C2 .20,10.2.27.20,2415,,,,,,
2026 Seymour C9 .96,10.2.26.96,906,,,,,,
2026 Seymour C9 .95,10.2.26.95,915,,,,,,
2026 Seymour C9 .94,10.2.26.94,924,,,,,,
2026 Seymour C9 .93,10.2.26.93,None,,,,,,
2026 Seymour C9 .92,10.2.26.92,906,,,,,,
2026 Seymour C9 .91,10.2.26.91,924,,,,,,
2026 Seymour AF5x .59,10.2.26.59,5235,,,,,,
2026 Seymour PBEM5 .55,10.2.26.55,5740,,,,,,
2026 Seymour PBEM5 .53,10.2.26.53,5550,,,,,,
2026 Seymour C2 .20,10.2.26.20,2415,,,,,,
2240 McCartney Substation NSM2 .27,10.2.240.27,2412,,,,,,
2002 Missouri Park Campground C9 .96,10.2.2.96,915,,,,,,
2002 Missouri Park Campground NSM5 .59,10.2.2.59,5310,,,,,,
2002 Missouri Park Campground RM365 .33,10.2.2.33,3656,,,,,,
2002 Missouri Park Campground RM365 .32,10.2.2.32,3661,,,,,,
2002 Missouri Park Campground RM365 .31,10.2.2.31,3671,,,,,,
2002 Missouri Park Campground NSM2 .120,10.2.2.120,2412,,,,,,
2019 Conway C9 .96,10.2.19.96,906,,,,,,
2019 Conway C9 .95,10.2.19.95,915,,,,,,
2019 Conway C9 .94,10.2.19.94,906,,,,,,
2019 Conway C9 .93,10.2.19.93,915,,,,,,
2019 Conway C9 .92,10.2.19.92,None,,,,,,
2019 Conway C9 .91,10.2.19.91,None,,,,,,
2019 Conway PBEM5 .53,10.2.19.53,5770,,,,,,
2019 Conway RM5 .50,10.2.19.50,5740,,,,,,
2018 Strafford C9 .96,10.2.18.96,None,,,,,,
2018 Strafford C9 .95,10.2.18.95,None,,,,,,
2018 Strafford C9 .91,10.2.18.91,None,,,,,,
2018 Strafford C9 .90,10.2.18.90,906,,,,,,
2018 Strafford NBM5 .59,10.2.18.59,5760,,,,,,
2018 Strafford PBEM5 .57,10.2.18.57,5515,,,,,,
2018 Strafford C5 .56,10.2.18.56,5275,,,,,,
2018 Strafford C5 .55,10.2.18.55,5325,,,,,,
2018 Strafford C5 .54,10.2.18.54,5300,,,,,,
2018 Strafford C9 .53,10.2.18.53,None,,,,,,
2018 Strafford C5 .51,10.2.18.51,5300,,,,,,
2018 Strafford C9 .50,10.2.18.50,None,,,,,,
